stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Development\Projects\Template\bin\Debug\allegro5.cfg r
display  D   display_settings.c:400  _al_score_display_settings       [   0.04125] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04126] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.04127] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04127] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04128] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04129] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04129] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04130] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.04131] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04131] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.04132] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04133] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04133] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04134] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04135] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04135] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.04136] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04137] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.04137] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04138] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04139] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04140] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04140] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04141] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.04142] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04142] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
